id_shop;shop;id_ks;id_gas_pipeline;del;shop_sort;id_ks_pds
1;1;1;5;False;1;1
2;2;1;6;False;2;1
3;3;1;22;False;3;1
4;4;1;23;False;4;1
5;5;1;17;False;5;1
6;6;1;16;False;6;1
7;7;1;26;False;7;1
8;1;2;5;False;1;2
9;2;2;6;False;2;2
10;3;2;22;False;3;2
11;4;2;23;False;4;2
12;5;2;17;False;5;2
13;6;2;16;False;6;2
14;7;2;26;False;7;2
15;1;3;24;False;1;13
16;2;3;25;False;2;13
17;3;3;14;False;3;13
18;4;3;20;False;4;13
19;1;4;9;False;1;3
20;2;4;11;False;2;3
21;3;4;8;False;3;3
22;2;5;24;False;2;14
23;3;5;25;False;3;14
24;4;5;14;False;4;14
25;5;5;20;False;5;14
26;6;5;10;False;6;14
27;1;6;9;False;1;4
28;2;6;11;False;2;4
29;3;6;8;False;3;4
30;4;7;1;False;4;34
31;1;7;3;False;1;34
32;2;7;3;False;2;34
33;3;7;1;False;3;34
34;1;8;9;False;1;5
35;2;8;11;False;2;5
36;3;8;8;False;3;5
37;4;8;5;False;4;5
38;5;8;6;False;5;5
39;6;8;22;False;6;5
40;7;8;23;False;7;5
41;8;8;17;False;8;5
42;9;8;16;False;9;5
43;10;8;26;False;10;5
44;1;9;9;False;1;6
45;2;9;11;False;2;6
46;3;9;8;False;3;6
47;4;9;5;False;4;6
48;5;9;6;False;5;6
49;6;9;22;False;6;6
50;7;9;23;False;7;6
51;8;9;17;False;8;6
52;9;9;16;False;9;6
53;10;9;26;False;10;6
54;1;10;9;False;1;7
55;2;10;11;False;2;7
56;3;10;8;False;3;7
57;4;10;5;False;4;7
58;5;10;6;False;5;7
59;6;10;22;False;6;7
60;7;10;23;False;7;7
61;8;10;17;False;8;7
62;9;10;16;False;9;7
63;10;10;26;False;10;7
64;3;11;4;False;3;15
65;4;11;21;False;4;15
66;5;11;18;False;5;15
67;6;11;14;False;6;15
68;7;11;20;False;7;15
69;1;12;15;False;1;16
70;2;12;2;False;2;16
71;3;12;4;False;3;16
72;4;12;21;False;4;16
73;5;12;18;False;5;16
74;6;12;14;False;6;16
75;7;12;20;False;7;16
76;1;13;9;False;1;8
77;2;13;11;False;2;8
78;3;13;8;False;3;8
79;4;13;5;False;4;8
80;5;13;6;False;5;8
81;6;13;22;False;6;8
82;7;13;23;False;7;8
83;8;13;17;False;8;8
84;9;13;16;False;9;8
85;10;13;26;False;10;8
86;1;14;15;False;1;17
87;2;14;2;False;2;17
88;3;14;4;False;3;17
89;4;14;21;False;4;17
90;5;14;18;False;5;17
91;6;14;14;False;6;17
92;7;14;20;False;7;17
93;1;15;9;False;1;9
94;2;15;11;False;2;9
95;3;15;8;False;3;9
96;4;15;5;False;4;9
97;5;15;6;False;5;9
98;6;15;22;False;6;9
99;7;15;23;False;7;9
100;8;15;17;False;8;9
101;9;15;16;False;9;9
102;10;15;26;False;10;9
103;1;16;15;False;1;18
104;2;16;2;False;2;18
105;3;16;4;False;3;18
106;4;16;21;False;4;18
107;5;16;25;False;5;18
108;6;16;14;False;6;18
109;7;16;20;False;7;18
110;1;17;9;False;1;10
111;2;17;11;False;2;10
112;3;17;8;False;3;10
113;4;17;5;False;4;10
114;5;17;6;False;5;10
115;6;17;22;False;6;10
116;7;17;23;False;7;10
117;8;17;17;False;8;10
118;9;17;16;False;9;10
119;1;18;9;False;1;11
120;2;18;11;False;2;11
121;3;18;8;False;3;11
122;4;18;5;False;4;11
123;5;18;6;False;5;11
124;6;18;22;False;6;11
125;7;18;23;False;7;11
126;8;18;17;False;8;11
127;9;18;16;False;9;11
128;10;18;26;False;10;11
129;3;19;4;False;3;19
130;4;19;21;False;4;19
131;5;19;18;False;5;19
132;6;19;14;False;6;19
133;7;19;20;False;7;19
134;8;19;10;False;8;19
135;1;20;9;False;1;12
136;2;20;11;False;2;12
137;3;20;8;False;3;12
138;4;20;5;False;4;12
139;5;20;6;False;5;12
140;6;20;22;False;6;12
141;7;20;23;False;7;12
142;8;20;17;False;8;12
143;9;20;16;False;9;12
144;10;20;26;False;10;12
145;1;21;13;False;1;20
146;2;21;26;False;2;20
147;1;22;7;False;1;21
148;2;22;19;False;2;21
149;3;22;12;False;3;21
150;4;22;10;False;4;21
151;1;23;7;False;1;22
152;2;23;19;False;2;22
153;3;23;12;False;3;22
154;4;23;10;False;4;22
155;1;24;9;False;1;25
156;2;24;11;False;2;25
157;3;24;8;False;3;25
158;4;24;5;False;4;25
159;1;25;14;False;1;23
160;2;25;20;False;2;23
161;1;26;13;True;1;24
162;2;26;26;False;2;24
163;3;26;4;False;3;24
164;4;26;14;False;4;24
165;5;26;20;False;5;24
166;5;27;6;False;5;35
167;6;27;22;False;6;35
168;7;27;23;False;7;35
169;8;27;17;False;8;35
170;9;27;16;False;9;35
171;10;27;26;False;10;35
172;3;28;4;False;3;26
173;4;28;14;False;4;26
174;5;28;20;False;5;26
175;6;28;9;False;6;26
176;7;28;11;False;7;26
177;8;28;8;False;8;26
178;9;28;5;False;9;26
179;1;29;6;False;1;27
180;2;29;22;False;2;27
181;3;29;23;False;3;27
182;4;29;17;False;4;27
183;5;29;16;False;5;27
184;6;29;26;False;6;27
185;2;30;26;False;2;28
186;3;30;4;False;3;28
187;4;30;14;False;4;28
188;5;30;20;False;5;28
189;6;30;9;False;6;28
190;7;30;11;False;7;28
191;8;30;8;False;8;28
192;9;30;5;False;9;28
193;1;31;6;False;1;29
194;2;31;22;False;2;29
195;3;31;23;False;3;29
196;4;31;17;False;4;29
197;5;31;16;False;5;29
198;6;31;26;False;6;29
199;2;32;26;False;2;30
200;4;32;14;False;4;30
201;5;32;20;False;5;30
202;6;32;9;False;6;30
203;7;32;11;False;7;30
204;8;32;8;False;8;30
205;9;32;5;False;9;30
206;1;33;6;False;1;31
207;2;33;22;False;2;31
208;3;33;23;False;3;31
210;4;33;17;False;4;31
211;5;33;16;False;5;31
212;6;33;26;False;6;31
213;2;34;26;True;2;32
214;3;34;4;False;3;32
215;1;35;14;False;1;33
216;2;35;20;False;2;33
217;3;35;9;False;3;33
218;4;35;11;False;4;33
219;5;35;8;False;5;33
220;6;35;5;False;6;33
221;10;17;26;False;10;10
222;СОГ-1;1;5;False;8;1
223;СОГ-3;1;22;False;9;1
224;СО-6;4;9;False;4;3
225;СОГ-4;1;27;False;10;1
226;4;34;28;False;1;32
227;4;21;13;False;3;20
